"year","city","stops"
2006,"Bronx",75839
2006,"Brooklyn",176076
2006,"Manhattan",120564
2006,"Queens",114992
2007,"Bronx",71008
2007,"Brooklyn",162753
2007,"Manhattan",116788
2007,"Queens",100802
2008,"Bronx",84741
2008,"Brooklyn",187118
2008,"Manhattan",118825
2008,"Queens",117213
2009,"Bronx",96275
2009,"Brooklyn",207421
2009,"Manhattan",115940
2009,"Queens",131876
2010,"Bronx",112415
2010,"Brooklyn",195155
2010,"Manhattan",122082
2010,"Queens",144072
2011,"Bronx",135738
2011,"Brooklyn",228324
2011,"Manhattan",140910
2011,"Queens",152664
2012,"Bronx",102143
2012,"Brooklyn",188707
2012,"Manhattan",110366
2012,"Queens",110958
2013,"Bronx",25300
2013,"Brooklyn",72402
2013,"Manhattan",39957
2013,"Queens",45556
2014,"Bronx",6825
2014,"Brooklyn",13368
2014,"Manhattan",7261
2014,"Queens",13335
2015,"Bronx",4754
2015,"Brooklyn",6354
2015,"Manhattan",3941
2015,"Queens",5718
