"year","city","race","cnt","type","percentage"
2006,"Bronx","Asian","45494","pop",3.3
2006,"Bronx","Asian","309","stops",0.4
2006,"Bronx","Black","426660","pop",31.1
2006,"Bronx","Black","36172","stops",47.7
2006,"Bronx","Hispanic","706167","pop",51.4
2006,"Bronx","Hispanic","32492","stops",42.8
2006,"Bronx","Native American","738","pop",0.1
2006,"Bronx","Native American","129","stops",0.2
2006,"Bronx","Other","16354","pop",1.1
2006,"Bronx","Other","3976","stops",5.2
2006,"Bronx","White","178342","pop",13
2006,"Bronx","White","2761","stops",3.6
2006,"Brooklyn","Asian","228085","pop",11.2
2006,"Brooklyn","Asian","2200","stops",1.2
2006,"Brooklyn","Black","853108","pop",41.9
2006,"Brooklyn","Black","112816","stops",64.1
2006,"Brooklyn","Hispanic","23742","pop",1.2
2006,"Brooklyn","Hispanic","35141","stops",20
2006,"Brooklyn","Native American","4267","pop",0.2
2006,"Brooklyn","Native American","434","stops",0.2
2006,"Brooklyn","Other","18579","pop",0.9
2006,"Brooklyn","Other","7513","stops",4.3
2006,"Brooklyn","White","908477","pop",44.6
2006,"Brooklyn","White","17972","stops",10.2
2006,"Manhattan","Asian","180256","pop",11.2
2006,"Manhattan","Asian","2080","stops",1.7
2006,"Manhattan","Black","230600","pop",14.3
2006,"Manhattan","Black","62889","stops",52.2
2006,"Manhattan","Hispanic","408712","pop",25.4
2006,"Manhattan","Hispanic","38587","stops",32
2006,"Manhattan","Native American","1482","pop",0.1
2006,"Manhattan","Native American","213","stops",0.2
2006,"Manhattan","Other","5869","pop",0.3
2006,"Manhattan","Other","6390","stops",5.3
2006,"Manhattan","White","784662","pop",48.7
2006,"Manhattan","White","10405","stops",8.6
2006,"New York","Asian","960429","pop",11.8
2006,"New York","Asian","13288","stops",2.7
2006,"New York","Black","1951814","pop",23.9
2006,"New York","Black","260721","stops",53.5
2006,"New York","Hispanic","2273051","pop",27.9
2006,"New York","Hispanic","144552","stops",29.7
2006,"New York","Native American","13537","pop",0.2
2006,"New York","Native American","1818","stops",0.4
2006,"New York","Other","89758","pop",1.1
2006,"New York","Other","22068","stops",4.5
2006,"New York","White","2861095","pop",35.1
2006,"New York","White","45024","stops",9.2
2006,"Queens","Asian","482262","pop",21.4
2006,"Queens","Asian","8699","stops",7.6
2006,"Queens","Black","419069","pop",18.6
2006,"Queens","Black","48844","stops",42.5
2006,"Queens","Hispanic","597773","pop",26.5
2006,"Queens","Hispanic","38332","stops",33.3
2006,"Queens","Native American","6644","pop",0.3
2006,"Queens","Native American","1042","stops",0.9
2006,"Queens","Other","48368","pop",2.1
2006,"Queens","Other","4189","stops",3.6
2006,"Queens","White","701059","pop",31.1
2006,"Queens","White","13886","stops",12.1
2006,"Staten Island","Asian","35768","pop",7.5
2006,"Staten Island","Black","45572","pop",9.5
2006,"Staten Island","Hispanic","71,154","pop",14.9
2006,"Staten Island","Native American","561","pop",0.1
2006,"Staten Island","Other","1671","pop",0.4
2006,"Staten Island","White","322652","pop",67.6
2007,"Bronx","Asian","47829","pop",3.5
2007,"Bronx","Asian","366","stops",0.5
2007,"Bronx","Black","430399","pop",31.3
2007,"Bronx","Black","33532","stops",47.3
2007,"Bronx","Hispanic","702,073","pop",51.1
2007,"Bronx","Hispanic","30020","stops",42.3
2007,"Bronx","Native American","3333","pop",0.2
2007,"Bronx","Native American","162","stops",0.2
2007,"Bronx","Other","11555","pop",0.9
2007,"Bronx","Other","3865","stops",5.4
2007,"Bronx","White","178470","pop",13
2007,"Bronx","White","2991","stops",4.2
2007,"Brooklyn","Asian","229668","pop",9.1
2007,"Brooklyn","Asian","2033","stops",1.3
2007,"Brooklyn","Black","854281","pop",33.8
2007,"Brooklyn","Black","106309","stops",65.4
2007,"Brooklyn","Hispanic","493,961","pop",19.5
2007,"Brooklyn","Hispanic","31924","stops",19.6
2007,"Brooklyn","Native American","5012","pop",0.2
2007,"Brooklyn","Native American","383","stops",0.2
2007,"Brooklyn","Other","15702","pop",0.6
2007,"Brooklyn","Other","6033","stops",3.7
2007,"Brooklyn","White","929426","pop",36.8
2007,"Brooklyn","White","15938","stops",9.8
2007,"Manhattan","Asian","177207","pop",10.9
2007,"Manhattan","Asian","2191","stops",1.9
2007,"Manhattan","Black","225716","pop",13.9
2007,"Manhattan","Black","57240","stops",49
2007,"Manhattan","Hispanic","400,498","pop",24.7
2007,"Manhattan","Hispanic","40694","stops",34.9
2007,"Manhattan","Native American","1994","pop",0.1
2007,"Manhattan","Native American","286","stops",0.2
2007,"Manhattan","Other","9580","pop",0.6
2007,"Manhattan","Other","5324","stops",4.6
2007,"Manhattan","White","805871","pop",49.7
2007,"Manhattan","White","10973","stops",9.4
2007,"New York","Asian","984700","pop",11.9
2007,"New York","Asian","12901","stops",2.9
2007,"New York","Black","1977970","pop",23.9
2007,"New York","Black","237313","stops",52.6
2007,"New York","Hispanic","2,269,972","pop",27.4
2007,"New York","Hispanic","138031","stops",30.6
2007,"New York","Native American","18064","pop",0.2
2007,"New York","Native American","1697","stops",0.4
2007,"New York","Other","76423","pop",1
2007,"New York","Other","17567","stops",3.9
2007,"New York","White","2947398","pop",35.6
2007,"New York","White","43456","stops",9.6
2007,"Queens","Asian","494201","pop",21.8
2007,"Queens","Asian","8311","stops",8.3
2007,"Queens","Black","420665","pop",18.5
2007,"Queens","Black","40232","stops",40
2007,"Queens","Hispanic","600,467","pop",26.4
2007,"Queens","Hispanic","35393","stops",35.1
2007,"Queens","Native American","7080","pop",0.3
2007,"Queens","Native American","866","stops",0.9
2007,"Queens","Other","38924","pop",1.8
2007,"Queens","Other","2345","stops",2.3
2007,"Queens","White","709001","pop",31.2
2007,"Queens","White","13554","stops",13.5
2007,"Staten Island","Asian","36765","pop",7.6
