"year","city","race","cnt_stops","perc_stops","cnt_pop","perc_pop","cnt_positive","perc_positive"
2006,"Bronx","Asian",309,0.4,196,3.3,62,0.1
2006,"Bronx","Black",36172,47.7,178,31.1,4994,6.6
2006,"Bronx","Hispanic",32492,42.8,276,51.4,4774,6.3
2006,"Bronx","Native American",129,0.2,290,0.1,15,0
2006,"Bronx","White",2761,3.6,49,13,380,0.5
2006,"Bronx","Other",3976,5.2,37,1.1,341,0.4
2006,"Brooklyn","Asian",2200,1.2,96,11.2,204,0.1
2006,"Brooklyn","Black",112816,64.1,333,41.9,10479,6
2006,"Brooklyn","Hispanic",35141,20,100,1.2,3288,1.9
2006,"Brooklyn","Native American",434,0.2,179,0.2,40,0
2006,"Brooklyn","White",17972,10.2,344,44.6,1843,1
2006,"Brooklyn","Other",7513,4.3,56,0.9,409,0.2
2006,"Manhattan","Asian",2080,1.7,52,11.2,261,0.2
2006,"Manhattan","Black",62889,52.2,98,14.3,7709,6.4
2006,"Manhattan","Hispanic",38587,32,160,25.4,4473,3.7
2006,"Manhattan","Native American",213,0.2,25,0.1,21,0
2006,"Manhattan","White",10405,8.6,304,48.7,1365,1.1
2006,"Manhattan","Other",6390,5.3,248,0.3,601,0.5
2006,"Queens","Asian",8699,7.6,213,21.4,904,0.8
2006,"Queens","Black",48844,42.5,170,18.6,5959,5.2
2006,"Queens","Hispanic",38332,33.3,250,26.5,4006,3.5
2006,"Queens","Native American",1042,0.9,272,0.3,104,0.1
2006,"Queens","White",13886,12.1,274,31.1,1598,1.4
2006,"Queens","Other",4189,3.6,214,2.1,284,0.2
2007,"Bronx","Asian",366,0.5,209,3.5,57,0.1
2007,"Bronx","Black",33532,47.3,182,31.3,5289,7.5
2007,"Bronx","Hispanic",30020,42.3,275,51.1,4853,6.8
2007,"Bronx","Native American",162,0.2,135,0.2,20,0
2007,"Bronx","White",2991,4.2,50,13,417,0.6
2007,"Bronx","Other",3865,5.4,11,0.9,459,0.6
2007,"Brooklyn","Asian",2033,1.3,97,9.1,288,0.2
2007,"Brooklyn","Black",106309,65.4,335,33.8,13827,8.5
2007,"Brooklyn","Hispanic",31924,19.6,219,19.5,4403,2.7
2007,"Brooklyn","Native American",383,0.2,223,0.2,37,0
2007,"Brooklyn","White",15938,9.8,347,36.8,2040,1.3
2007,"Brooklyn","Other",6033,3.7,33,0.6,567,0.3
2007,"Manhattan","Asian",2191,1.9,48,10.9,332,0.3
2007,"Manhattan","Black",57240,49,94,13.9,7921,6.8
2007,"Manhattan","Hispanic",40694,34.9,155,24.7,5423,4.6
2007,"Manhattan","Native American",286,0.2,71,0.1,39,0
2007,"Manhattan","White",10973,9.4,315,49.7,1704,1.5
2007,"Manhattan","Other",5324,4.6,353,0.6,589,0.5
2007,"Queens","Asian",8311,8.3,220,21.8,1151,1.1
2007,"Queens","Black",40232,40,171,18.5,5718,5.7
2007,"Queens","Hispanic",35393,35.1,251,26.4,4624,4.6
2007,"Queens","Native American",866,0.9,278,0.3,111,0.1
2007,"Queens","White",13554,13.5,279,31.2,1901,1.9
2007,"Queens","Other",2345,2.3,153,1.8,320,0.3
2008,"Bronx","Asian",596,0.7,204,3.4,113,0.1
2008,"Bronx","Black",39318,46.6,188,31.3,5410,6.4
2008,"Bronx","Hispanic",36812,43.6,283,51.7,5406,6.4
2008,"Bronx","Native American",210,0.2,345,0.1,32,0
2008,"Bronx","White",2600,3.1,46,12.7,356,0.4
2008,"Bronx","Other",4863,5.8,19,0.8,584,0.7
2008,"Brooklyn","Asian",2661,1.4,101,9.3,376,0.2
2008,"Brooklyn","Black",119622,64.3,334,33.4,14175,7.6
2008,"Brooklyn","Hispanic",41188,22.1,226,19.7,5217,2.8
2008,"Brooklyn","Native American",479,0.3,211,0.2,59,0
2008,"Brooklyn","White",16848,9.1,350,36.9,2035,1.1
2008,"Brooklyn","Other",5219,2.8,16,0.5,619,0.3
2008,"Manhattan","Asian",2629,2.2,51,11,355,0.3
2008,"Manhattan","Black",60601,51.3,93,13.7,8900,7.5
2008,"Manhattan","Hispanic",39755,33.7,156,24.5,6529,5.5
2008,"Manhattan","Native American",297,0.3,47,0.1,42,0
2008,"Manhattan","White",11214,9.5,322,50.4,1780,1.5
2008,"Manhattan","Other",3565,3,240,0.3,418,0.4
2008,"Queens","Asian",10135,8.7,225,21.9,1124,1
